TIME,Device_Temp,Modem_Tech,SNR,RSRP,Bandwidth,B0:pci,B0:band,B0:status,B0:bandwidth,B1:pci,B1:band,B1:status,B1:bandwidth,B2:pci,B2:band,B2:status,B2:bandwidth,B3:pci,B3:band,B3:status,B3:bandwidth,B4:pci,B4:band,B4:status,B4:bandwidth,B5:pci,B5:band,B5:status,B5:bandwidth,B6:pci,B6:band,B6:status,B6:bandwidth,B7:pci,B7:band,B7:status,B7:bandwidth,B8:pci,B8:band,B8:status,B8:bandwidth,B9:pci,B9:band,B9:status,B9:bandwidth
06/29/2022_13:56:21,28976,10(LTE),5,-112,-112,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_13:59:35,28991,10(LTE),-2,-112,-112,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_14:02:49,28982,10(LTE),3,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_14:06:02,28997,10(LTE),4,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_14:09:16,29000,10(LTE),4,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_14:12:30,29027,10(LTE),0,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_14:15:43,29057,10(LTE),0,-115,-115,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_14:18:57,29003,10(LTE),2,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_14:22:11,28988,10(LTE),0,-112,-112,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_14:25:24,29015,10(LTE),-1,-112,-112,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_14:28:38,29012,10(LTE),3,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_14:31:51,29051,10(LTE),3,-115,-115,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_14:35:05,29063,10(LTE),-1,-117,-117,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_14:38:19,29063,10(LTE),-3,-117,-117,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_14:41:32,29045,10(LTE),0,-116,-116,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_14:44:46,29110,10(LTE),-3,-118,-118,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_14:48:00,29048,10(LTE),1,-116,-116,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_14:51:13,29042,10(LTE),2,-116,-116,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_14:54:27,29090,10(LTE),4,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_14:57:41,29098,10(LTE),-1,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_15:00:54,29164,10(LTE),1,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_15:04:08,29143,10(LTE),2,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_15:07:21,29113,10(LTE),1,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_15:10:35,29096,10(LTE),3,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_15:13:49,29185,15(NR5G),1,-106,-106,20,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_15:17:02,29125,10(LTE),3,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_15:20:16,29179,10(LTE),-4,-116,-116,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_15:23:30,29176,10(LTE),-5,-120,-120,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_15:26:43,29161,10(LTE),-3,-116,-116,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_15:29:57,29223,10(LTE),-1,-116,-116,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_15:33:11,29158,10(LTE),0,-117,-117,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_15:36:24,29140,10(LTE),0,-117,-117,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_15:39:38,29137,10(LTE),-1,-116,-116,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_15:42:51,29158,10(LTE),0,-115,-115,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_15:46:05,29200,10(LTE),-5,-117,-117,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_15:49:19,29218,10(LTE),-3,-117,-117,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_15:52:32,29232,10(LTE),-1,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_15:55:46,29182,10(LTE),-1,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_15:59:00,29283,15(NR5G),1,-104,-104,20,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_16:02:13,29182,10(LTE),-2,-117,-117,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_16:05:27,29185,10(LTE),1,-116,-116,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_16:08:41,29191,10(LTE),0,-118,-118,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_16:11:54,29176,10(LTE),2,-115,-115,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_16:15:08,29191,10(LTE),-1,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_16:18:22,29170,10(LTE),1,-111,-111,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_16:21:35,29155,10(LTE),2,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_16:24:49,29152,10(LTE),1,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_16:28:03,29176,10(LTE),3,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_16:31:16,29200,10(LTE),2,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_16:34:30,29170,10(LTE),4,-112,-112,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_16:37:44,29143,10(LTE),1,-112,-112,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_16:40:57,29125,10(LTE),3,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_16:44:11,29226,10(LTE),1,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_16:47:24,29194,10(LTE),-1,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_16:50:38,29188,10(LTE),3,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_16:53:52,29173,10(LTE),3,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_16:57:05,29155,10(LTE),2,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_17:00:19,29152,10(LTE),4,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_17:03:33,29122,10(LTE),0,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_17:06:46,29134,10(LTE),4,-112,-112,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_17:10:00,29155,10(LTE),0,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_17:13:14,29194,10(LTE),1,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_17:16:27,29191,10(LTE),-2,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_17:19:41,29170,10(LTE),1,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_17:22:55,29155,10(LTE),4,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_17:26:08,29146,10(LTE),0,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_17:29:22,29223,10(LTE),0,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_17:32:35,29209,10(LTE),3,-115,-115,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_17:35:49,29215,10(LTE),4,-116,-116,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_17:39:03,29200,10(LTE),4,-114,-114,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_17:42:16,29203,10(LTE),1,-112,-112,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_17:45:30,29209,10(LTE),1,-115,-115,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_17:48:44,29194,10(LTE),2,-115,-115,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_17:51:57,29221,10(LTE),-1,-114,-114,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_17:55:11,29232,10(LTE),4,-115,-115,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_17:58:24,29221,10(LTE),2,-115,-115,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_18:01:38,29215,10(LTE),1,-115,-115,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_18:04:52,29188,10(LTE),0,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_18:08:05,29209,10(LTE),2,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_18:11:19,29185,10(LTE),2,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_18:14:33,29223,10(LTE),1,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_18:17:46,29206,10(LTE),2,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_18:21:00,29179,10(LTE),2,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_18:24:13,29173,10(LTE),-2,-115,-115,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_18:27:27,29134,10(LTE),2,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_18:30:41,29143,10(LTE),2,-116,-116,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_18:33:54,29149,10(LTE),1,-114,-114,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_18:37:08,29203,10(LTE),-4,-115,-115,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_18:40:21,29188,10(LTE),-6,-115,-115,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_18:43:35,29170,10(LTE),-4,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_18:46:49,29164,10(LTE),-2,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_18:50:02,29107,10(LTE),-1,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_18:53:16,29098,10(LTE),-1,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_18:56:30,29090,10(LTE),2,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_18:59:43,29152,10(LTE),-2,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_19:02:57,29146,10(LTE),-5,-116,-116,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_19:06:11,29137,10(LTE),0,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_19:09:24,29110,10(LTE),0,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_19:12:38,29078,10(LTE),0,-115,-115,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_19:15:51,29081,10(LTE),3,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_19:19:05,29054,10(LTE),2,-117,-117,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_19:22:19,29045,10(LTE),0,-117,-117,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_19:25:32,29042,10(LTE),-2,-119,-119,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_19:28:46,29078,10(LTE),0,-119,-119,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_19:32:00,29098,10(LTE),0,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_19:35:13,29027,10(LTE),0,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_19:38:27,28988,10(LTE),3,-112,-112,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_19:41:41,28976,10(LTE),2,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_19:44:54,29006,10(LTE),-1,-112,-112,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_19:48:08,29003,10(LTE),0,-115,-115,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_19:51:22,28988,10(LTE),0,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_19:54:35,28953,10(LTE),2,-114,-114,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_19:57:49,28920,10(LTE),1,-112,-112,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_20:01:02,28994,10(LTE),1,-112,-112,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_20:04:16,28938,10(LTE),1,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_20:07:30,28932,10(LTE),1,-112,-112,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_20:10:43,28926,10(LTE),1,-112,-112,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_20:13:57,29027,15(NR5G),2,-105,-105,20,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_20:17:11,28881,10(LTE),0,-112,-112,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_20:20:24,28840,10(LTE),0,-111,-111,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_20:23:38,28810,10(LTE),2,-111,-111,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_20:26:52,28825,10(LTE),3,-110,-110,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_20:30:06,28875,10(LTE),2,-111,-111,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_20:33:19,28848,10(LTE),2,-111,-111,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_20:36:33,28813,10(LTE),0,-111,-111,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_20:39:47,28756,10(LTE),0,-111,-111,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_20:43:00,28744,10(LTE),0,-112,-112,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_20:46:14,28756,10(LTE),1,-114,-114,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_20:49:27,28783,10(LTE),0,-114,-114,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_20:52:41,28792,10(LTE),1,-114,-114,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_20:55:55,28881,10(LTE),-1,-114,-114,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_20:59:08,28941,10(LTE),0,-113,-113,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_21:02:22,28795,10(LTE),-2,-115,-115,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_21:05:36,28774,10(LTE),0,-114,-114,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_21:08:50,28774,10(LTE),-2,-115,-115,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_21:12:03,28786,10(LTE),4,-115,-115,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_21:15:17,28869,10(LTE),-6,-116,-116,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_21:18:31,28819,10(LTE),0,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_21:21:44,28783,10(LTE),0,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_21:24:58,28780,10(LTE),-2,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_21:28:11,28783,10(LTE),-1,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_21:31:25,28825,10(LTE),-2,-117,-117,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_21:34:39,28843,10(LTE),-4,-117,-117,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_21:37:52,28822,10(LTE),-4,-118,-118,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_21:41:06,28798,10(LTE),-4,-117,-117,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_21:44:20,28899,10(LTE),-5,-116,-116,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_21:47:33,28822,10(LTE),-5,-116,-116,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_21:50:47,28819,10(LTE),-5,-116,-116,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_21:54:01,28848,10(LTE),-1,-113,-113,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_21:57:14,28848,10(LTE),2,-119,-119,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_22:00:28,28860,10(LTE),1,-115,-115,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_22:03:41,28801,10(LTE),2,-117,-117,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_22:06:55,28780,10(LTE),2,-118,-118,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_22:10:09,28777,10(LTE),1,-117,-117,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_22:13:22,28786,10(LTE),0,-117,-117,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_22:16:36,28825,10(LTE),1,-115,-115,10,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_22:19:50,28938,10(LTE),0,-110,-110,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
06/29/2022_22:23:03,28789,10(LTE),0,-110,-110,15,308,2,875,2,4,0,0,0,0,350,66,66736,0,3,0,0,0,0
